Domain,Complexity,TBCA_SR,TBCA_Iterations,ReAct_SR,ReAct_Iterations
Legal,Simple,1,1,1,1
Legal,Simple,1,1,1,1
Legal,Simple,1,5,1,1
Legal,Simple,1,1,1,1
Legal,Medium,1,1,1,1
Legal,Medium,1,2,1,1
Legal,Medium,1,1,1,1
Legal,Medium,1,1,1,1
Legal,Complex,1,1,1,1
Legal,Complex,1,1,0,1
Economic,Simple,1,1,1,1
Economic,Simple,1,1,1,1
Economic,Simple,1,1,1,1
Economic,Simple,1,1,1,1
Economic,Medium,1,1,1,1
Economic,Medium,1,1,1,1
Economic,Medium,1,1,1,1
Economic,Medium,1,1,0,1
Economic,Complex,1,2,0,1
Economic,Complex,1,1,0,1
Spatial,Simple,1,4,0,1
Spatial,Simple,1,1,1,1
Spatial,Simple,1,3,1,1
Spatial,Simple,1,2,1,2
Spatial,Medium,1,1,1,1
Spatial,Medium,0,5,0,1
Spatial,Medium,1,3,1,1
Spatial,Medium,1,2,1,1
Spatial,Complex,1,1,0,1
Spatial,Complex,1,2,1,1
